record_id,redcap_survey_identifier,surveysession1_timestamp,age,gender,chatbot_frequency,mental_effort,g1_construct_answer,g2_understand_topic,g3_selfexplain,g4_trust,g5_prompt_selfexplain,g6_mechanisms_case,g7_recommend,g8_boring,g9_person,arcs1,arcs2,arcs3,arcs4,arcs5,arcs6,arcs7,arcs8,arcs9,arcs10,arcs11,arcs12,surveysession1_complete
269,,2025/9/29 18:22,18,1,5,5,4,4,4,3,4,4,4,1,3,4,4,4,4,4,4,4,3,4,5,5,3,2
270,,2025/9/29 18:22,17,1,1,6,4,4,3,2,5,4,2,1,4,4,4,2,3,2,2,3,3,4,2,2,2,2
271,,2025/9/29 18:22,19,1,3,6,4,5,3,5,3,4,5,1,1,4,4,4,4,4,4,4,4,4,4,4,4,2
272,,2025/9/29 18:23,20,1,5,7,4,4,3,2,5,4,4,3,4,3,4,3,4,4,4,4,4,4,3,3,3,2
273,,[not completed],19,1,3,6,5,4,5,2,3,5,4,3,4,,,,,,,,,,,,,0
274,,2025/9/29 18:28,18,1,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
275,,2025/9/29 18:39,18,1,5,6,4,3,4,4,4,4,5,2,2,2,2,4,3,4,3,4,4,3,2,3,4,2
276,,2025/9/29 18:36,21,2,5,5,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,2
277,,2025/9/29 18:39,19,2,5,3,3,1,2,4,5,3,1,3,4,3,2,1,4,4,2,2,4,2,2,2,2,2
278,,2025/9/29 18:37,20,1,5,3,3,4,3,2,4,4,3,2,1,3,2,1,4,4,3,3,2,4,3,3,3,2
279,,2025/9/29 18:38,19,2,5,6,3,2,3,2,4,3,1,3,2,1,1,1,4,4,1,1,2,4,1,2,2,2
280,,2025/9/29 18:37,18,1,2,5,3,2,3,2,3,3,2,2,4,3,3,3,3,3,3,3,3,3,2,2,2,2
281,,2025/9/29 18:37,19,2,1,5,3,3,3,3,3,3,4,3,4,4,4,3,3,4,3,3,4,4,4,4,4,2
282,,2025/9/29 18:38,19,1,1,4,4,3,5,3,5,4,3,3,4,3,3,3,4,5,3,4,4,3,4,3,3,2
283,,2025/9/29 18:39,19,1,5,6,2,2,4,4,4,4,3,3,4,3,3,3,4,4,3,4,3,3,3,2,3,2
284,,2025/9/29 18:37,19,2,3,5,3,4,3,2,4,3,2,2,1,3,2,3,4,4,2,3,3,2,2,4,2,2
285,,2025/9/29 18:37,17,1,6,6,5,3,4,3,3,4,5,1,3,3,4,2,4,4,4,4,4,4,3,3,3,2
286,,2025/9/29 18:39,19,2,2,3,4,4,5,5,5,4,4,1,4,4,4,5,4,5,4,5,5,5,4,4,4,2
287,,2025/9/29 18:38,20,1,1,2,1,3,3,3,1,3,3,3,5,2,2,2,4,3,3,3,3,2,1,2,2,2
288,,2025/9/29 18:37,19,1,6,3,2,2,4,4,3,5,4,1,1,4,4,3,4,4,4,4,4,4,4,5,5,2
289,,2025/9/29 18:38,19,2,5,5,4,4,4,2,3,4,2,4,5,2,3,2,4,3,3,3,2,3,2,3,3,2
290,,2025/9/29 18:38,18,1,1,2,4,3,4,4,4,4,5,2,3,4,4,4,4,3,4,3,3,4,3,4,4,2
291,,[not completed],19,1,6,7,,,,,,,,,,,,,,,,,,,,,,0
292,,2025/9/29 18:40,20,1,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2
293,,2025/9/29 18:40,17,1,4,5,4,4,4,4,4,4,4,2,3,4,4,4,4,5,4,4,4,4,5,5,5,2
294,,2025/9/29 18:43,18,1,4,5,2,4,4,3,4,4,3,2,1,3,4,2,4,4,3,4,4,3,2,2,2,2
295,,2025/9/29 18:50,19,1,1,5,4,4,4,5,3,4,3,3,4,2,2,2,4,4,4,4,4,4,1,1,2,2
296,,2025/9/29 18:55,23,2,5,5,4,4,4,4,5,4,4,2,3,4,4,4,3,4,3,4,4,4,4,4,1,2
297,,2025/9/29 19:01,18,2,5,4,4,3,4,4,4,4,5,3,2,3,3,3,5,4,4,3,4,4,4,3,3,2
298,,2025/9/29 19:09,18,1,4,7,3,4,5,4,2,4,3,3,2,3,4,3,3,3,2,3,3,2,3,4,4,2
299,,2025/9/29 19:10,19,1,3,3,5,5,5,5,4,5,5,3,4,4,4,2,4,4,4,4,4,4,2,3,3,2
300,,2025/9/29 19:10,18,1,3,5,2,2,3,3,2,3,3,5,4,2,4,3,3,3,3,3,3,3,3,1,1,2
301,,2025/9/29 19:11,18,1,3,5,4,2,4,3,4,4,3,4,5,2,3,2,4,4,4,2,3,2,1,1,2,2
302,,2025/9/29 19:10,19,1,5,7,4,4,4,4,3,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,3,2
303,,[not completed],20,1,5,3,3,4,4,5,3,2,4,3,4,,,,,,,,,,,,,0
304,,2025/9/29 19:12,20,2,5,5,3,4,4,2,4,3,2,3,4,3,3,3,2,3,2,3,3,2,2,3,3,2
305,,2025/9/29 19:35,18,1,1,5,2,5,3,3,4,5,5,5,1,3,5,3,2,2,4,4,5,4,3,3,5,2
306,,2025/9/29 19:37,18,1,1,6,4,4,4,3,4,2,3,2,3,3,2,3,4,2,3,2,2,1,2,2,2,2
307,,2025/9/29 19:35,19,1,1,2,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,3,3,2
308,,[not completed],18,2,6,5,,,,,,,,,,,,,,,,,,,,,,0
309,,2025/9/29 19:35,19,2,3,6,4,4,4,4,4,4,4,4,4,5,5,5,4,4,5,4,3,4,5,3,2,2
310,,2025/9/29 19:36,20,1,5,3,2,3,3,5,4,4,3,2,1,3,2,3,3,4,4,3,4,4,4,4,4,2
311,,2025/9/29 19:36,19,2,2,5,4,4,3,4,5,4,3,2,5,5,5,4,5,5,4,5,4,4,4,4,4,2
312,,2025/9/29 19:36,18,2,5,3,3,3,4,3,4,3,4,2,3,4,4,3,2,2,2,3,2,4,4,3,3,2
313,,2025/9/29 19:37,19,1,1,7,5,3,4,4,4,3,2,3,1,3,4,2,4,4,3,3,4,3,3,3,3,2
314,,2025/9/29 19:37,18,1,5,4,4,4,4,5,4,3,4,1,2,5,4,4,5,4,4,4,4,4,4,4,5,2
315,,2025/9/29 19:38,20,1,4,3,3,5,5,3,1,4,4,2,5,3,4,2,3,5,3,5,4,4,1,3,3,2
316,,2025/9/29 19:47,19,1,6,5,3,4,2,4,3,2,3,4,3,3,4,2,3,3,3,2,4,3,2,3,3,2
317,,2025/9/29 19:48,19,1,4,5,5,5,4,3,3,3,3,3,2,3,3,3,2,4,2,5,5,4,2,3,4,2
318,,2025/9/29 19:51,18,2,4,5,3,2,3,3,4,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,2
319,,2025/9/29 19:51,19,1,3,5,3,4,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2
320,,2025/9/29 19:54,19,1,2,4,3,3,3,4,3,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2
321,,2025/9/29 19:58,23,2,4,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
322,,2025/9/29 21:12,23,2,3,2,5,5,5,4,4,5,5,1,3,5,5,5,5,5,5,3,5,5,5,5,5,2
323,,2025/9/29 21:47,20,1,1,4,5,4,5,5,4,5,3,2,4,4,4,4,3,1,4,4,3,3,1,4,4,2
324,,[not completed],21,1,4,2,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
