record_id,redcap_survey_identifier,surveysession1_timestamp,age,gender,chatbot_frequency,mental_effort,g1_construct_answer,g2_understand_topic,g3_selfexplain,g4_trust,g5_prompt_selfexplain,g6_mechanisms_case,g7_recommend,g8_boring,g9_person,arcs1,arcs2,arcs3,arcs4,arcs5,arcs6,arcs7,arcs8,arcs9,arcs10,arcs11,arcs12,surveysession1_complete
21,,"2025-09-17 15:39:21",19,1,1,5,2,4,4,3,3,4,3,3,4,2,4,4,5,2,3,4,3,2,3,4,4,2
22,,"2025-09-17 15:39:21",18,1,1,2,3,4,4,5,3,5,5,2,2,4,3,4,5,4,3,3,4,4,3,3,4,2
23,,"2025-09-17 15:40:03",17,1,4,2,4,4,4,4,3,5,4,1,2,4,4,4,5,4,5,4,4,4,4,3,4,2
24,,"2025-09-17 15:38:19",19,1,4,4,4,5,5,4,4,4,5,3,2,5,5,5,5,5,5,5,5,5,5,5,5,2
25,,"2025-09-17 15:39:31",18,1,4,3,3,4,3,4,4,4,4,2,2,3,3,3,3,4,5,4,4,4,3,3,2,2
26,,"2025-09-17 15:40:50",17,2,5,4,4,4,5,4,5,3,5,1,4,4,3,4,5,5,5,5,5,4,4,4,5,2
27,,"2025-09-17 15:48:47",23,2,1,3,4,4,4,4,4,4,3,2,5,4,4,4,4,4,4,4,4,4,4,4,4,2
28,,"2025-09-17 15:47:29",17,1,5,5,3,4,5,5,5,2,4,2,1,4,4,4,3,3,4,4,2,4,3,4,4,2
29,,"2025-09-17 15:49:07",19,1,6,3,4,5,4,3,5,5,4,2,1,3,3,3,4,5,4,4,4,5,3,4,4,2
30,,"2025-09-17 15:48:57",23,1,2,5,4,4,4,4,4,5,4,1,2,3,4,4,4,5,3,4,4,4,5,4,4,2
31,,"2025-09-17 15:49:21",18,1,4,2,2,5,4,2,3,4,4,1,2,5,1,2,4,3,4,3,4,2,5,5,4,2
32,,"2025-09-17 15:48:27",19,2,6,5,5,3,4,4,3,3,3,1,1,3,3,3,4,3,4,4,4,4,3,5,4,2
33,,"2025-09-17 15:48:47",18,1,4,5,3,4,5,4,3,4,4,1,3,4,4,5,5,4,5,4,4,5,2,4,4,2
34,,"2025-09-17 15:48:59",18,1,5,7,4,2,4,4,5,4,3,4,5,3,4,3,4,5,4,4,4,3,4,3,4,2
35,,"2025-09-17 15:51:54",19,2,6,5,5,4,4,3,4,5,5,2,5,3,3,3,2,4,3,4,1,3,3,1,3,2
36,,"2025-09-17 15:48:51",21,1,6,3,4,5,4,5,5,4,5,1,4,4,4,4,5,4,4,5,4,4,5,5,5,2
37,,"2025-09-17 15:53:31",19,1,6,7,5,5,4,4,4,4,4,2,1,4,4,4,5,4,3,4,4,4,4,4,3,2
38,,"2025-09-17 15:55:13",18,2,6,5,4,5,3,5,3,4,5,1,5,4,5,5,4,5,4,5,5,5,5,5,5,2
39,,"2025-09-17 15:54:48",19,1,6,2,3,4,5,4,4,5,5,1,1,4,3,3,4,5,5,4,4,4,5,5,5,2
40,,"2025-09-17 15:54:17",20,1,5,2,2,2,3,4,4,4,4,1,3,3,3,3,4,4,4,4,2,4,2,3,2,2
41,,"2025-09-17 15:54:31",17,1,5,6,5,4,3,5,3,5,5,1,3,4,5,3,5,4,4,5,5,5,4,4,4,2
42,,"2025-09-17 15:56:28",18,1,3,3,4,4,3,3,4,4,5,1,2,3,4,4,4,3,2,4,2,4,5,5,5,2
43,,"2025-09-17 15:55:58",19,1,5,4,4,4,5,3,4,5,4,3,4,4,4,4,4,5,4,4,4,4,4,3,4,2
44,,"2025-09-17 15:54:07",20,1,4,4,3,3,4,3,1,3,2,1,3,4,4,4,4,3,2,3,3,3,1,2,3,2
45,,"2025-09-17 15:54:56",19,2,4,3,4,4,5,3,4,4,5,1,4,4,3,4,4,4,4,3,4,4,4,4,4,2
46,,"2025-09-17 15:56:22",19,1,4,5,4,3,4,4,3,4,2,2,4,2,2,2,4,4,2,4,4,3,4,4,2,2
47,,"[not completed]",,,,,,,,,,,,,,,,,,,,,,,,,,0
48,,"2025-09-17 15:59:48",18,2,5,5,3,2,4,3,5,4,3,2,3,3,4,4,1,5,3,1,1,1,3,4,3,2
49,,"2025-09-17 15:59:27",20,1,4,6,5,4,4,4,4,4,5,1,3,4,4,4,4,4,4,4,4,4,4,4,4,2
50,,"2025-09-17 16:00:18",18,1,3,3,3,4,4,5,4,4,4,2,3,3,4,3,3,4,3,4,4,3,4,3,4,2
51,,"2025-09-17 16:00:10",20,2,5,5,4,4,4,4,4,4,2,3,5,2,3,3,3,3,2,3,3,3,3,3,3,2
52,,"2025-09-17 16:01:33",18,1,2,5,3,4,3,3,3,4,3,4,4,3,2,3,3,3,2,3,2,3,2,4,2,2
53,,"2025-09-17 16:01:12",24,1,4,7,3,2,3,4,5,3,4,3,4,3,3,3,3,3,4,3,2,3,2,3,1,2
54,,"2025-09-17 16:02:49",18,1,5,1,4,5,3,4,5,4,3,2,4,3,3,4,5,3,5,2,3,4,3,4,4,2
55,,"2025-09-17 16:00:38",19,1,4,6,2,2,3,2,4,4,3,3,5,3,4,4,3,3,2,4,2,2,3,2,3,2
56,,"2025-09-17 16:01:40",18,1,1,7,2,4,3,2,1,4,1,3,4,1,4,2,2,4,4,4,4,4,3,2,2,2
57,,"2025-09-17 16:04:21",19,1,5,5,4,5,3,2,3,2,2,2,4,3,3,1,3,3,2,2,1,3,2,3,2,2
58,,"2025-09-17 16:02:34",20,1,5,2,4,3,3,2,4,2,3,3,5,4,3,3,4,4,4,3,2,3,2,2,2,2
59,,"2025-09-17 16:02:53",20,1,6,4,5,5,5,4,4,3,5,1,3,5,4,4,4,4,4,4,4,4,4,4,4,2
60,,"2025-09-17 16:03:55",17,2,2,5,4,4,4,3,3,4,4,3,4,3,3,3,4,4,4,4,4,3,3,4,4,2
61,,"2025-09-17 16:03:59",18,2,3,5,3,1,2,2,4,5,3,2,5,4,2,1,5,4,3,1,2,3,2,3,2,2
62,,"2025-09-17 16:02:49",20,1,5,2,4,4,4,4,4,4,4,1,2,4,3,2,3,4,4,3,4,4,2,3,3,2
63,,"2025-09-17 16:02:52",20,1,6,5,2,3,2,5,4,5,5,4,5,3,3,2,3,4,5,3,2,3,3,2,4,2
64,,"2025-09-17 16:02:57",19,1,4,5,5,5,5,5,5,5,5,1,1,5,3,2,5,5,5,5,5,4,5,5,5,2
65,,"2025-09-17 16:03:44",19,1,5,1,5,5,5,5,4,4,5,3,4,4,4,2,4,5,5,4,4,5,4,3,4,2
66,,"2025-09-17 16:02:55",18,1,4,5,4,3,4,4,4,4,4,2,2,4,4,2,3,4,4,3,4,3,4,4,4,2
67,,"2025-09-17 16:03:39",20,1,5,6,3,3,2,3,2,3,3,3,4,2,3,1,2,4,2,2,2,2,1,1,2,2
68,,"2025-09-17 16:03:58",22,1,5,5,3,3,4,5,5,4,5,1,3,4,4,3,5,2,4,2,3,3,5,4,3,2
69,,"2025-09-17 16:03:54",18,1,2,6,4,5,5,5,5,3,5,2,2,4,5,3,5,4,4,5,5,5,4,5,4,2
70,,"2025-09-17 16:03:48",20,2,5,6,4,5,4,5,5,5,5,1,3,2,4,3,4,4,5,4,4,5,4,4,4,2
71,,"2025-09-17 16:06:04",17,1,1,7,4,5,4,5,5,4,5,2,3,4,4,4,4,4,4,3,3,4,4,4,5,2
72,,"2025-09-17 16:04:50",17,2,4,4,4,5,4,4,4,5,5,1,1,5,4,3,5,5,5,5,4,4,4,4,4,2
73,,"[not completed]",19,1,5,5,4,2,2,2,5,,,,,,,,,,,,,,,,,0
74,,"2025-09-17 16:19:13",20,1,1,5,3,5,4,3,5,5,4,3,2,4,3,1,3,3,5,4,4,5,5,4,3,2
75,,"2025-09-17 16:19:17",19,1,5,5,5,3,3,5,4,3,3,2,3,3,2,1,3,4,4,4,4,4,2,3,3,2
76,,"2025-09-17 16:19:36",23,1,5,6,4,3,3,2,1,4,4,4,4,1,1,1,2,2,1,2,2,3,3,3,2,2
77,,"2025-09-17 16:19:37",19,1,1,6,2,4,3,2,5,5,3,3,4,1,1,1,3,1,1,3,1,1,1,1,1,2
78,,"2025-09-17 16:19:08",19,1,4,2,4,4,4,4,4,4,3,4,3,3,3,3,3,3,4,3,3,3,3,4,4,2
79,,"2025-09-17 16:18:50",18,1,4,4,3,2,2,2,2,2,2,4,5,1,1,2,2,2,3,3,3,3,3,2,2,2
80,,"[not completed]",24,1,5,3,2,1,3,2,2,2,1,2,5,,,,,,,,,,,,,0
81,,"2025-09-17 16:19:35",18,1,1,5,2,2,2,2,3,3,2,4,5,2,1,1,3,3,1,2,1,1,1,1,1,2
82,,"2025-09-17 16:19:43",19,2,3,3,2,3,4,4,2,2,4,4,3,3,3,4,4,5,2,3,2,4,1,2,2,2
83,,"2025-09-17 16:19:54",19,1,2,4,4,4,3,5,3,4,4,2,3,2,3,3,3,4,3,4,2,3,1,1,2,2
84,,"[not completed]",19,2,2,5,3,4,3,4,3,4,4,1,2,,,,,,,,,,,,,0
85,,"2025-09-17 16:29:10",20,1,6,3,4,4,5,4,5,3,5,2,2,3,3,4,4,4,4,4,4,4,5,4,4,2
86,,"2025-09-17 16:42:35",18,2,5,3,4,3,3,3,4,3,4,1,1,4,3,3,3,4,3,3,3,4,3,3,3,2
87,,"[not completed]",20,1,4,3,,,,,,,,,,,,,,,,,,,,,,0
88,,"2025-09-17 16:42:06",19,1,1,5,2,4,3,3,2,3,3,1,2,4,4,4,3,3,4,3,3,3,3,3,3,2
89,,"2025-09-17 16:42:22",20,1,4,3,4,3,4,3,5,4,4,1,5,4,3,4,5,4,3,3,3,5,3,4,4,2
90,,"2025-09-17 16:42:15",20,2,4,6,4,5,4,3,4,4,4,1,3,4,3,4,3,3,3,4,3,3,4,4,4,2
91,,"2025-09-17 16:43:05",18,1,5,4,4,4,5,4,2,4,4,1,3,4,4,4,5,3,4,4,4,4,4,3,4,2
92,,"2025-09-17 16:44:10",19,1,4,3,5,4,5,4,5,5,5,1,2,5,5,5,5,5,5,5,5,5,5,5,5,2
93,,"2025-09-17 16:43:03",19,1,1,5,3,2,4,1,4,2,3,3,5,4,2,4,3,3,3,3,3,2,1,1,3,2
94,,"2025-09-17 16:42:32",21,1,6,2,4,4,4,5,4,4,5,1,1,3,4,4,4,4,3,4,3,4,3,3,4,2
95,,"2025-09-17 16:43:12",19,1,6,2,4,3,3,4,5,2,5,3,2,4,4,4,5,3,4,4,4,4,3,3,3,2
96,,"2025-09-17 16:43:27",19,1,4,2,5,5,4,3,4,4,4,2,3,3,4,4,4,3,4,4,3,4,3,3,3,2
97,,"2025-09-17 17:01:56",19,1,6,5,2,2,4,1,1,4,2,1,5,4,4,3,4,4,4,4,1,2,1,2,2,2
98,,"2025-09-17 17:10:55",17,1,5,4,3,2,4,3,4,4,4,2,2,2,2,3,3,4,4,4,3,4,3,3,3,2
99,,"2025-09-17 17:11:40",19,1,1,5,4,2,4,4,5,2,5,2,1,2,2,3,4,4,5,4,4,4,4,5,5,2
100,,"2025-09-17 17:10:54",17,1,5,2,4,5,4,4,4,5,5,2,3,4,3,4,4,5,4,4,4,4,4,5,5,2
101,,"2025-09-17 17:11:30",18,1,2,5,2,4,4,4,4,4,4,3,1,3,3,4,4,4,3,3,5,4,2,3,3,2
102,,"2025-09-17 17:11:14",18,1,1,4,5,4,4,4,4,4,4,3,4,5,5,4,3,5,4,3,4,3,4,2,3,2
103,,"2025-09-17 17:11:27",18,1,5,4,2,1,3,3,4,4,4,3,4,3,3,4,4,4,4,4,4,4,3,3,3,2
104,,"2025-09-17 17:11:20",23,2,5,4,3,4,3,4,4,3,3,3,4,3,2,2,5,3,3,4,3,4,2,3,2,2
105,,"2025-09-17 17:11:31",22,2,3,3,4,4,4,3,3,5,3,2,3,4,4,4,4,4,4,3,4,4,4,3,3,2
106,,"2025-09-17 17:11:54",18,2,5,5,4,4,4,3,3,3,4,2,3,3,1,3,4,4,4,3,3,3,3,4,3,2
107,,"2025-09-17 17:11:37",18,1,5,3,3,3,2,4,4,4,5,1,3,4,4,5,2,4,4,3,2,4,3,4,5,2
108,,"2025-09-17 17:13:00",18,2,5,3,3,4,4,4,4,3,4,2,3,4,4,4,4,4,4,3,3,3,4,4,4,2
109,,"[not completed]",,,,,,,,,,,,,,,,,,,,,,,,,,0
110,,"2025-09-17 17:25:48",19,1,1,5,5,4,4,2,3,5,4,3,4,4,4,3,5,4,4,4,3,4,3,2,5,2
111,,"2025-09-17 17:25:13",18,1,5,6,4,4,5,2,4,4,4,1,3,4,4,3,3,3,3,4,2,3,4,3,2,2
112,,"2025-09-17 17:25:30",18,1,5,5,5,5,4,3,4,5,5,1,2,2,3,4,4,5,3,4,4,4,3,3,5,2
113,,"2025-09-17 17:24:33",19,1,5,2,4,4,5,3,4,4,4,1,4,4,4,3,4,3,4,3,4,2,2,2,5,2
114,,"2025-09-17 17:25:45",18,1,5,5,4,3,3,1,4,3,4,1,5,4,2,2,2,4,2,4,4,3,4,4,3,2
115,,"2025-09-17 17:25:20",18,1,3,2,5,4,3,3,4,3,4,1,3,4,4,3,2,4,4,5,5,3,2,4,4,2
116,,"2025-09-17 17:26:07",20,2,1,4,5,3,4,5,5,5,3,3,3,2,2,2,3,3,3,4,4,4,3,3,3,2
117,,"2025-09-17 17:26:23",18,1,5,3,4,4,3,3,4,3,4,2,1,4,4,4,4,4,4,3,4,2,3,4,3,2
118,,"2025-09-17 17:28:46",18,1,2,6,3,2,3,1,4,4,1,5,1,2,1,1,3,4,4,3,3,2,1,1,1,2
119,,"2025-09-17 17:29:40",18,1,1,4,2,2,3,4,2,3,3,2,4,4,4,2,4,2,2,4,2,4,2,3,3,2
120,,"[not completed]",20,1,6,6,4,2,3,4,5,2,3,2,1,2,2,3,5,5,3,4,4,5,2,,4,0
121,,"2025-09-17 17:29:39",19,1,1,4,4,2,2,3,2,3,4,2,5,4,4,4,3,2,3,2,2,4,4,4,4,2
122,,"2025-09-17 17:29:04",20,1,1,5,4,5,5,1,5,5,2,1,1,3,4,4,3,4,4,4,4,4,3,3,2,2
123,,"2025-09-17 17:29:50",18,2,5,6,4,4,3,3,2,2,3,1,3,5,3,3,4,4,4,3,4,5,4,4,3,2
124,,"2025-09-17 17:29:12",20,1,1,5,4,4,4,4,4,4,4,1,2,3,4,4,4,4,4,4,4,4,4,4,4,2
125,,"2025-09-17 17:31:27",19,2,6,5,4,4,4,4,3,3,5,1,1,4,4,4,5,4,4,4,4,3,4,5,4,2
126,,"2025-09-17 17:29:10",21,1,3,5,4,4,3,5,5,3,4,1,1,5,4,3,4,4,4,4,4,4,5,5,3,2
127,,"2025-09-17 17:29:44",18,1,4,3,2,4,5,5,4,5,5,1,2,5,5,4,4,5,5,5,4,5,5,5,5,2
128,,"[not completed]",23,2,1,2,,,,,,,,,,,,,,,,,,,,,,0
129,,"2025-09-17 17:29:34",23,2,1,2,4,2,2,4,4,5,4,3,3,3,5,3,3,4,5,5,4,4,5,4,4,2
130,,"2025-09-17 17:33:31",19,1,5,3,3,3,4,4,4,4,4,2,4,3,3,3,3,4,3,2,4,4,3,3,3,2
131,,"2025-09-17 17:34:25",19,2,4,6,4,4,4,4,4,5,4,2,2,4,4,4,4,4,4,4,4,4,3,4,4,2
132,,"2025-09-17 17:34:06",21,2,6,5,4,4,4,5,5,4,5,1,3,4,4,4,3,4,4,5,4,4,5,5,5,2
133,,"2025-09-17 17:34:32",18,1,5,5,4,5,3,5,5,3,3,5,1,4,4,3,5,3,5,4,3,5,4,2,1,2
134,,"[not completed]",20,1,1,4,,,,,,,,,,,,,,,,,,,,,,0
135,,"2025-09-17 17:36:07",18,1,5,2,4,2,5,5,5,4,4,3,3,2,3,2,3,4,4,4,3,3,1,2,2,2
136,,"2025-09-17 17:35:34",18,2,4,4,4,4,4,4,5,5,3,4,4,2,3,3,4,4,3,2,3,3,1,2,4,2
137,,"2025-09-17 17:36:00",17,1,4,3,4,4,4,3,2,3,4,4,4,1,3,3,3,3,3,3,3,3,3,3,3,2
138,,"2025-09-17 17:38:59",19,1,5,3,4,4,4,5,3,2,4,2,3,4,3,4,4,4,3,3,2,4,2,4,4,2
139,,"2025-09-17 17:38:02",20,2,5,6,3,4,3,3,4,4,3,2,3,3,2,3,4,2,2,2,3,2,1,3,3,2
140,,"2025-09-17 17:37:10",19,1,5,2,4,5,5,5,4,4,5,1,3,4,4,4,4,5,4,4,5,4,4,4,4,2
141,,"2025-09-17 17:38:23",18,1,5,6,2,2,2,2,1,1,2,5,4,2,2,2,2,2,2,2,2,2,1,1,1,2
142,,"2025-09-17 17:39:21",19,1,4,5,4,4,3,4,4,4,5,2,2,3,3,3,3,3,4,4,3,3,3,3,3,2
143,,"2025-09-17 17:40:26",18,1,5,6,4,3,4,3,1,3,2,5,5,2,2,1,4,5,3,3,3,2,1,1,1,2
144,,"2025-09-17 17:39:36",18,1,1,3,4,5,3,3,1,3,4,4,4,3,3,4,4,4,4,4,4,4,2,2,3,2
145,,"2025-09-17 17:44:37",20,2,1,3,4,3,3,4,4,3,4,1,3,3,2,2,4,2,2,2,1,1,4,4,3,2
146,,"2025-09-17 17:42:14",18,1,6,8,3,2,2,4,3,2,4,2,4,1,2,4,3,4,3,4,4,3,4,4,4,2
147,,"2025-09-17 17:46:42",20,1,2,6,3,2,5,3,4,4,2,3,4,4,2,2,5,4,3,3,3,2,3,2,2,2
148,,"2025-09-17 17:45:47",18,1,5,7,4,3,3,4,5,4,3,2,3,4,2,2,3,3,4,3,3,3,3,3,3,2
149,,"2025-09-17 17:51:13",21,2,6,3,4,4,5,5,5,4,4,2,5,4,2,3,5,4,5,4,3,4,2,4,5,2
150,,"[not completed]",19,1,6,3,,,,,,,,,,,,,,,,,,,,,,0
151,,"[not completed]",19,2,6,3,,,,,,,,,,,,,,,,,,,,,,0
152,,"2025-09-17 17:50:59",21,1,3,3,3,4,4,3,4,5,3,2,4,3,4,4,4,5,3,4,3,3,2,2,2,2
153,,"2025-09-17 17:51:57",21,1,6,5,4,4,5,5,4,4,5,1,1,5,5,4,4,4,4,4,4,5,5,5,5,2
154,,"2025-09-17 17:52:19",17,2,5,6,3,2,2,4,2,4,3,3,5,3,3,3,4,4,3,4,4,3,2,2,2,2
155,,"2025-09-17 17:51:03",19,2,6,3,3,4,4,4,4,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
156,,"[not completed]",19,1,6,3,,,,,,,,,,,,,,,,,,,,,,0
157,,"2025-09-17 17:52:12",19,1,6,4,3,4,3,1,4,4,2,2,5,3,3,3,4,4,3,3,1,2,1,1,1,2
158,,"2025-09-17 17:52:31",18,1,6,6,4,4,4,4,4,4,4,2,3,3,2,3,4,5,4,4,3,3,3,3,3,2
159,,"2025-09-17 17:51:56",19,1,5,6,4,2,3,5,4,4,3,4,5,4,3,2,3,4,4,3,4,3,4,3,2,2
160,,"[not completed]",19,1,1,5,,,,,,,,,,,,,,,,,,,,,,0
161,,"2025-09-17 18:03:41",19,1,1,4,2,3,3,4,3,5,5,3,3,2,4,4,4,4,4,4,4,4,4,4,4,2
162,,"2025-09-17 18:06:13",18,1,5,5,4,3,3,3,4,2,4,2,3,2,1,3,4,4,1,1,1,1,4,2,3,2
163,,"2025-09-17 18:05:09",18,2,5,5,4,4,3,4,5,4,4,1,2,5,4,3,4,5,4,4,3,4,4,4,3,2
164,,"2025-09-17 18:06:58",18,1,4,5,4,4,4,5,4,4,4,2,3,4,4,4,5,4,3,4,3,4,4,3,4,2
165,,"2025-09-17 18:05:39",19,2,4,5,4,4,5,4,5,3,4,2,4,5,4,4,5,4,5,4,5,4,3,4,4,2
166,,"2025-09-17 18:05:21",19,1,5,4,4,5,5,3,4,4,5,2,2,3,4,4,4,5,5,5,5,5,5,5,4,2
167,,"2025-09-17 18:05:20",18,2,6,5,3,4,3,5,4,5,3,1,1,4,2,3,4,5,5,3,1,1,2,2,3,2
168,,"2025-09-17 18:05:09",20,1,5,3,4,5,4,3,4,5,5,2,1,3,4,4,4,4,4,3,2,4,4,4,4,2
169,,"2025-09-17 18:05:57",19,2,5,6,4,4,4,2,4,3,4,1,3,4,4,4,4,3,5,4,3,4,3,4,4,2
170,,"2025-09-17 18:06:32",18,1,5,5,2,3,2,4,4,1,4,1,2,5,4,3,4,4,3,2,4,4,4,4,3,2
171,,"2025-09-17 18:07:16",20,1,6,4,3,4,4,4,2,5,5,1,2,1,3,1,5,5,4,4,4,3,2,3,3,2
172,,"[not completed]",19,1,6,2,,,,,,,,,,,,,,,,,,,,,,0
173,,"2025-09-17 18:06:28",18,2,4,3,3,3,2,2,1,4,3,3,4,2,2,1,3,5,2,4,4,3,1,2,2,2
174,,"2025-09-17 18:07:01",19,1,6,4,4,4,3,3,5,4,5,2,2,4,3,3,4,3,4,3,3,4,4,4,4,2
175,,"[not completed]",22,1,6,1,4,4,5,4,2,5,4,1,4,,,,,,,,,,,,,0
176,,"2025-09-17 18:06:23",18,1,5,2,4,3,4,5,5,4,5,1,2,4,3,3,4,5,4,4,4,3,4,4,4,2
177,,"2025-09-17 18:05:59",17,1,6,3,5,4,4,4,5,5,5,1,3,4,4,3,5,5,4,3,3,4,4,4,4,2
178,,"2025-09-17 18:06:13",18,1,5,7,3,4,4,4,5,3,3,3,5,3,1,1,1,4,4,4,4,3,2,2,2,2
179,,"2025-09-17 18:06:11",18,1,5,5,4,5,4,5,5,4,5,1,3,4,5,5,5,5,4,3,4,4,4,4,4,2
180,,"2025-09-17 18:06:32",19,1,2,3,4,4,5,5,5,4,5,1,3,4,4,4,5,5,4,4,4,4,5,5,5,2
181,,"2025-09-17 18:06:19",18,2,2,6,4,4,5,4,5,4,5,1,2,4,5,5,5,4,3,3,4,4,5,5,4,2
182,,"2025-09-17 18:07:19",18,1,4,5,3,4,4,5,4,4,5,2,4,3,4,3,4,5,3,3,4,4,3,4,4,2
183,,"2025-09-17 18:08:21",18,2,4,3,5,4,4,5,5,3,4,2,5,4,4,3,5,4,3,4,4,5,4,4,4,2
184,,"2025-09-17 18:07:03",20,1,6,6,5,5,5,5,5,5,5,1,2,4,4,5,5,5,5,5,4,5,5,5,5,2
185,,"[not completed]",19,1,2,2,4,4,4,4,4,5,4,1,3,,,,,,,,,,,,,0
186,,"2025-09-17 18:08:03",23,1,1,5,4,4,5,3,4,5,4,1,4,5,2,2,5,5,4,4,4,2,4,4,4,2
187,,"2025-09-17 18:08:57",19,1,1,4,4,4,4,4,4,2,4,1,1,4,5,4,4,5,5,4,4,4,4,5,5,2
188,,"2025-09-17 18:08:32",18,2,5,2,4,4,3,4,4,3,4,2,1,4,4,2,4,4,4,4,4,4,3,2,4,2
189,,"2025-09-17 18:09:06",18,1,2,6,2,4,3,4,4,2,4,1,1,3,4,2,4,2,4,2,1,2,2,2,2,2
190,,"2025-09-17 18:08:23",18,1,3,5,5,5,5,5,4,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,2
191,,"2025-09-17 18:08:46",17,1,1,6,2,2,3,2,4,4,1,3,5,2,3,2,4,4,3,2,1,2,1,1,3,2
192,,"2025-09-17 18:10:02",19,1,6,5,4,3,4,5,4,3,5,1,1,4,4,4,2,5,4,4,3,5,4,3,3,2
193,,"2025-09-17 18:09:59",18,1,3,5,4,4,4,4,2,3,4,1,1,3,4,4,4,4,2,3,3,3,4,3,3,2
194,,"2025-09-17 18:10:08",19,1,6,6,3,3,3,4,3,3,4,2,1,3,3,3,4,3,3,3,3,3,2,3,3,2
195,,"[not completed]",,,,,,,,,,,,,,,,,,,,,,,,,,0
196,,"2025-09-17 18:22:37",20,1,5,4,5,4,5,3,5,5,4,3,2,4,4,4,4,4,4,4,2,3,2,2,2,2
197,,"2025-09-17 18:23:42",19,2,1,5,4,4,4,4,5,4,4,1,3,4,4,3,4,4,4,4,4,4,4,5,5,2
198,,"2025-09-17 18:24:24",21,2,5,1,4,2,5,3,5,4,2,1,5,3,5,1,2,3,4,3,4,4,4,3,4,2
199,,"2025-09-17 18:23:41",19,1,5,7,4,4,4,4,4,3,5,1,3,4,3,4,4,4,4,4,3,4,3,3,4,2
200,,"2025-09-17 18:24:54",18,1,5,5,4,4,5,3,5,5,4,3,1,4,3,3,4,5,4,4,4,4,3,3,3,2
201,,"2025-09-17 18:23:43",19,2,4,3,4,3,1,3,5,3,3,3,3,4,3,1,4,2,2,3,4,1,3,3,3,2
202,,"2025-09-17 18:23:48",18,1,2,5,3,3,4,3,4,4,3,2,4,4,2,3,4,4,3,4,2,3,3,3,3,2
203,,"2025-09-17 18:24:52",19,2,6,5,4,4,3,2,3,3,3,2,1,1,2,2,3,4,4,3,3,4,2,1,2,2
204,,"2025-09-17 18:22:51",20,1,1,3,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,4,5,5,5,5,5,2
205,,"[not completed]",18,1,4,5,4,3,4,2,3,3,4,2,4,3,3,3,4,3,4,3,3,3,,4,2,0
206,,"2025-09-17 18:25:26",19,2,1,3,5,5,5,4,5,4,5,1,3,5,3,5,5,5,5,5,5,5,4,4,4,2
207,,"2025-09-17 18:31:35",19,1,2,3,3,3,4,3,3,2,3,2,2,3,3,3,3,2,3,2,2,3,2,2,3,2
