record_id,redcap_survey_identifier,surveysession1_timestamp,age,gender,chatbot_frequency,mental_effort,g1_construct_answer,g2_understand_topic,g3_selfexplain,g4_trust,g5_prompt_selfexplain,g6_mechanisms_case,g7_recommend,g8_boring,g9_person,arcs1,arcs2,arcs3,arcs4,arcs5,arcs6,arcs7,arcs8,arcs9,arcs10,arcs11,arcs12,surveysession1_complete
354,,2025/10/15 17:03,20,1,1,5,5,5,5,5,5,5,5,1,1,4,5,5,5,5,5,5,5,5,4,5,5,2
355,,2025/10/15 17:03,20,1,1,6,4,4,5,3,4,5,4,1,1,4,3,1,3,3,3,4,5,4,3,5,5,2
356,,2025/10/15 17:03,18,1,4,2,4,3,2,5,3,5,5,1,2,4,3,4,5,5,5,5,5,4,5,5,5,2
357,,2025/10/15 17:03,18,1,2,1,2,2,1,4,3,3,1,5,4,1,2,1,3,2,2,2,4,2,1,1,1,2
358,,2025/10/15 17:03,19,1,5,3,5,5,4,5,5,5,5,3,5,4,4,2,5,4,3,4,4,3,2,3,3,2
359,,2025/10/15 17:03,18,2,6,5,3,3,3,2,4,4,3,2,5,5,4,3,3,4,3,3,4,4,3,3,3,2
360,,2025/10/15 17:03,21,1,2,5,4,4,4,5,5,4,4,2,5,3,3,3,3,5,4,5,4,4,5,5,3,2
361,,2025/10/15 17:04,19,2,3,5,2,2,4,5,3,4,3,2,1,3,3,4,4,4,4,4,4,4,4,4,4,2
362,,2025/10/15 17:27,24,1,2,5,3,3,3,3,3,3,3,4,3,3,3,2,4,3,3,4,3,3,4,2,3,2
363,,2025/10/15 17:27,18,1,3,4,3,2,4,2,3,2,3,2,3,4,2,4,3,2,2,2,3,2,3,3,2,2
364,,2025/10/15 17:28,19,1,3,4,5,5,5,2,4,4,3,2,5,2,3,4,4,3,3,3,2,3,3,3,3,2
365,,2025/10/15 17:29,19,1,1,6,3,2,4,5,1,3,1,3,5,1,4,2,2,1,1,4,1,3,3,3,3,2
366,,2025/10/15 17:27,18,4,1,9,1,1,1,1,1,1,1,5,5,3,1,4,4,3,2,3,3,2,3,2,3,2
367,,2025/10/15 17:29,18,2,5,5,2,3,3,2,2,2,1,5,3,4,1,1,3,3,2,1,1,1,1,1,1,2
368,,2025/10/15 17:28,20,1,2,5,4,4,4,4,4,3,3,4,4,3,4,4,3,3,4,4,3,3,4,3,3,2
369,,2025/10/15 17:27,20,1,1,5,3,3,3,3,3,3,3,3,3,2,4,3,3,3,3,3,3,3,3,3,3,2
370,,2025/10/15 17:28,20,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
371,,2025/10/15 17:29,18,1,2,3,3,3,4,5,3,5,3,3,4,2,1,1,2,4,4,4,3,4,2,2,2,2
372,,2025/10/15 17:29,18,1,1,6,3,3,4,4,5,4,3,3,5,2,4,3,3,3,3,4,3,3,3,4,4,2
373,,2025/10/15 17:34,23,2,5,6,4,4,4,4,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4,4,5,2
374,,2025/10/15 17:35,17,1,5,3,3,4,4,4,2,4,5,2,2,3,3,2,3,4,3,4,4,4,2,3,4,2
375,,2025/10/15 17:35,18,1,3,6,4,4,4,4,4,4,4,2,3,4,4,3,3,4,3,4,3,3,4,3,3,2
376,,2025/10/15 17:36,18,1,4,5,4,4,3,4,4,4,2,2,1,2,2,2,4,4,4,3,4,4,2,2,3,2
377,,2025/10/15 17:36,19,1,3,5,4,4,3,2,4,4,5,1,1,3,2,3,4,4,4,4,4,4,4,4,4,2
378,,2025/10/15 17:39,18,2,5,3,3,2,4,3,4,4,3,2,3,4,4,4,4,4,4,4,3,3,3,3,4,2
379,,2025/10/15 17:36,17,1,2,5,4,4,4,4,5,5,5,1,2,3,3,5,4,3,4,4,2,3,2,4,4,2
380,,2025/10/15 17:36,18,2,6,3,4,4,4,4,3,4,4,2,3,4,4,4,4,3,4,4,4,4,4,4,4,2
381,,2025/10/15 17:42,18,1,3,6,4,5,5,4,5,4,4,2,4,4,4,4,4,5,4,4,4,4,4,4,4,2
382,,2025/10/15 17:41,18,2,2,5,4,4,4,4,4,3,4,3,4,4,4,2,3,3,4,3,4,3,4,3,2,2
383,,2025/10/15 17:42,18,1,2,7,4,4,4,3,3,3,4,2,3,4,3,3,4,4,3,4,4,4,3,3,3,2
384,,2025/10/15 17:42,18,2,3,7,4,3,4,3,5,5,3,2,4,3,4,4,4,3,3,3,2,4,4,3,4,2
385,,2025/10/15 17:42,18,1,1,5,3,3,4,3,4,4,4,2,5,4,3,3,3,4,4,3,4,4,4,4,4,2
386,,2025/10/15 17:42,17,1,1,2,4,4,4,5,3,4,4,2,3,3,3,4,4,3,2,3,3,4,3,4,4,2
387,,2025/10/15 17:42,19,1,1,5,3,4,4,3,4,4,4,3,5,3,3,3,4,4,4,3,3,4,3,3,3,2
388,,2025/10/15 17:42,18,1,5,5,4,4,4,5,4,5,4,1,3,4,4,4,4,5,5,5,4,4,3,4,4,2
389,,2025/10/15 17:42,20,1,6,5,4,5,5,5,5,5,4,1,3,4,4,4,3,4,4,5,5,5,5,4,4,2
390,,[not completed],17,3,,4,,,,,,,,,,,,,,,,,,,,,,0
